SanJuanBautista: Paradero1
Yanbal: César_Vallejo
César_Vallejo: Plaza_Vea
Plaza_Vea: Segunda_De_Pro
Segunda_De_Pro: El_Álamo
El_Álamo: Botica
Botica: El_Pinar
El_Pinar: Kiosko
Kiosko: Los_Incas
Los_Incas: Alameda_Del_Pinar
Alameda_Del_Pinar: Oficina
Oficina: San_Felipe
San_Felipe: Remanso
Remanso: Peycar
Francisco_De_Zela: Piura
Piura: Alcides_Carrion
Alcides_Carrion: Ramón_Castilla
Ramón_Castilla: Arica
Arica: Julio_César_Tello
Julio_César_Tello: Sanchez_Cerro
Sanchez_Cerro: Colegio_Fe_Y_Alegría
Colegio_Fe_Y_Alegría: Avenida_Universitaria
José_Olaya: Huaytapampa
Huaytapampa: Progreso
Progreso: Posta
Posta: Calle_Marco
Calle_Marco: Calle_17
Calle_17: Huamachuco
Huamachuco: Calle_1
Calle_1: Túpac_Amaru
Túpac_Amaru: Estación_Naranjal
24_De_Agosto: La_Habana
La_Habana: Piura
Piura: Lima
Lima: Túpac_Amaru
Túpac_Amaru: España
España: Correo
Correo: Mega_80
Mega_80: Politécnico
Politécnico: La_Merced
La_Merced: La_Cincuenta
La_Cincuenta: Estación_Naranjal
Talara: Carabayllo
Carabayllo: San_Pablo
San_Pablo: Larco_Herrera
Larco_Herrera: 1_De_Mayo
1_De_Mayo: San_Martín
San_Martín: Cipreses
Cipreses: Belaúnde
Belaúnde: Banco_De_La_Nacion
Banco_De_La_Nacion: Puno
Puno: España
España: Correo
Correo: Mega_80
Mega_80: Politécnico
Politécnico: La_Merced
La_Merced: Estación_Naranjal
San_Miguel: Sta_Clara
Sta_Clara: Marquez
Marquez: Revolucion
Revolucion: La_Mar
La_Mar: Sanchez_Cerro
Sanchez_Cerro: Jorge_Chávez
Jorge_Chávez: Colegio_Fe_Y_Alegría
Colegio_Fe_Y_Alegría: Grifo_Año_Nuevo
Grifo_Año_Nuevo: Miguel_Grau
Miguel_Grau: Jamaica
Jamaica: La_Pascana
La_Pascana: Mercado_Chacra_Cerro
Mercado_Chacra_Cerro: Belaúnde
Belaúnde: Banco_De_La_Nacion
Banco_De_La_Nacion: Reniec
Reniec: 22_De_Agosto
22_De_Agosto: Mega_80
Mega_80: Politécnico
Politécnico: La_Cincuenta
La_Cincuenta: Estación_Naranjal
Metropolitano: Colegio_Fe_Y_Alegria
Colegio_Fe_Y_Alegria: Hospital_De_Collique
Hospital_De_Collique: San_Felipe
San_Felipe: Santa_Isabel
Santa_Isabel: Chimpu_Ocllo
Chimpu_Ocllo: La_Flor
La_Flor: Caudivilla
Caudivilla: Parque_Manco_Capac
Parque_Manco_Capac: José_Pardo
José_Pardo: Villa_Esperanza
Villa_Esperanza: Ciro_Alegria
Ciro_Alegria: La_Cumbre
La_Cumbre: Augusto_B_Leguía
Augusto_B_Leguía: Plaza_El_Progreso
Plaza_El_Progreso: Lenin
Condorcanqui: Paradero_Q
Paradero_Q: Paradero_39
Paradero_39: Chany
Chany: Mercado_Frontera
Mercado_Frontera: Entrada_Enace
Entrada_Enace: Chimpu_Ocllo
Chimpu_Ocllo: San_Felipe
San_Felipe: San_Carlos
San_Carlos: El_Paraiso
El_Paraiso: La_Alborada
La_Alborada: Los_Incas
Los_Incas: Sangarará
Sangarará: Parque_Sinchi_Roca
Parque_Sinchi_Roca: Cáceres
Cáceres: Micaela_Bastidas
Micaela_Bastidas: Av_A_Belaunde
Av_A_Belaunde: Bulevar
Bulevar: Seguro
Seguro: 22_De_Agosto
22_De_Agosto: Busano
Busano: México
México: Metropolitana
Metropolitana: Maestro_Peruano
Maestro_Peruano: Calle_22
Calle_22: Calle_30
Calle_30: Estación_Naranjal
Cementerio: Rosa_Luz
Rosa_Luz: Famesa
Famesa: Establo
Establo: Shangri-La
Shangri-La: Acobamba
Acobamba: Prolima
Prolima: Primera_De_Pro
Primera_De_Pro: Yanbal
Yanbal: Estación_Naranjal
Calle_5: Las_Acacias
Las_Acacias: El_Rosedal
El_Rosedal: Las_Granadas
Las_Granadas: Alborada
Alborada: Parque_Los_Portales
Parque_Los_Portales: Calle_2
Calle_2: Honradez
Honradez: Los_Próceres
Los_Próceres: Los_Portales
Los_Portales: 2_De_Octubre
2_De_Octubre: Los_Rosales
Los_Rosales: San_Martín
San_Martín: Central
Central: Santa_Elvira
Santa_Elvira: Universitaria
Universitaria: Tres_Postes
Tres_Postes: Marañón
Marañón: Hospital_Los_Olivos
Hospital_Los_Olivos: Estación_Naranjal
Pinos: Bertello
Bertello: Pacasmayo
Pacasmayo: Dominicos
Dominicos: Izaguirre
Izaguirre: Santa_Rosa
Santa_Rosa: Alisos
Alisos: Jardines_De_Naranjal
Jardines_De_Naranjal: Santo_Domingo
Santo_Domingo: Los_Nogales
Los_Nogales: Huandoy
Huandoy: Naranjal
Naranjal: Las_Palmeras
Las_Palmeras: Marcará
Marcará: Hospital_Los_Olivos
Hospital_Los_Olivos: Unger
Unger: Estación_Naranjal
Avenida_C: El_Rosario
El_Rosario: Huandoy
Huandoy: Avenida_A
Avenida_A: Universitaria
Universitaria: El_Naranjal
El_Naranjal: Las_Palmeras
Las_Palmeras: Galeano
Galeano: Maracuyá
Maracuyá: Estación_Naranjal
Nísperos: Coopip
Coopip: Santa_Rosa
Santa_Rosa: Puente_Camote
Puente_Camote: 12_De_Octubre
12_De_Octubre: San_Francisco
San_Francisco: Río_Santa
Río_Santa: Telefónica
Telefónica: Mercado_Covida
Mercado_Covida: Plaza_Vea
Plaza_Vea: Pasionaria
Pasionaria: Amarantos
Amarantos: Las_Palmeras
Las_Palmeras: Galeano
Galeano: Estación_Naranjal
Santa_Rosa: 12_De_Octubre
12_De_Octubre: San_Francisco
San_Francisco: Universitaria
Universitaria: Estibina
Estibina: Conococha
Conococha: Antunez_De_Mayolo
Antunez_De_Mayolo: Santos_Chocano
Santos_Chocano: Panamericana
Panamericana: Plaza_Vea
Plaza_Vea: Los_Alisos
Los_Alisos: Estación_Naranjal
Isla_Española: Aruba
Aruba: Las_Tortugas
Las_Tortugas: Cedros_De_Villa
Cedros_De_Villa: San_Lorenzo
San_Lorenzo: Plaza_Vea
Plaza_Vea: Machu_Picchu
Machu_Picchu: 10_De_Noviembre
10_De_Noviembre: Santa_Anita
Santa_Anita: Estación_Matellini_-_Alimentadores
Parque_Zonal_Huáscar: José_Carlos_Mariategui
José_Carlos_Mariategui: César_Vallejo
César_Vallejo: Velasco_Alvarado
Velasco_Alvarado: Álamos
Álamos: Micaela_Bastidas
Micaela_Bastidas: Pastor_Sevilla
Pastor_Sevilla: Villa_Panamericana
Villa_Panamericana: Almacenes
Almacenes: Panamericana_Sur
Panamericana_Sur: Santa_Rosa
Santa_Rosa: Pantanos_De_Villa
Pantanos_De_Villa: Lavalle
Lavalle: Estación_Matellini_-_Alimentadores
Calle_E: Av_La_Unión
Av_La_Unión: Mártires
Mártires: Micaela_Bastidas
Micaela_Bastidas: Unanue
Unanue: Velasco_Alvarado
Velasco_Alvarado: Vista_Alegre
Vista_Alegre: Los_Naranjos
Los_Naranjos: Calle_B
Calle_B: Los_Meteoros
Los_Meteoros: Guardia_Peruana
Guardia_Peruana: Óvalo_La_Curva
Óvalo_La_Curva: Estación_Matellini_-_Alimentadores
Tristán_Y_Moscoso: Paseo_De_La_República
Paseo_De_La_República: Las_Crucetas
Las_Crucetas: Alcides_Vigo
Alcides_Vigo: Parque_Villa_Alegre
Parque_Villa_Alegre: Guardia_Civil_Sur
Guardia_Civil_Sur: Los_Incas
Los_Incas: Centro_De_Instrucción_Pnp
Centro_De_Instrucción_Pnp: Los_Meteoros
Los_Meteoros: Guardia_Peruana
Guardia_Peruana: Calango
Calango: Óvalo_La_Curva
Óvalo_La_Curva: Estación_Matellini_-_Alimentadores
Venus: Javier_Prado
Javier_Prado: Hospital_Pnp
Hospital_Pnp: Colegio
Colegio: Óvalo
Óvalo: La_Dieciocho
La_Dieciocho: Bolívar
Bolívar: La_Doce_(Mercado)
La_Doce_(Mercado): La_Nueve
La_Nueve: Avenida_Brasil
Avenida_Brasil: 601
601: Avenida_Brasil
Avenida_Brasil: 27
27: Gregorio_Paredes
Gregorio_Paredes: Wilson
Wilson: Avenida_Paseo_De_La_República_589
Avenida_Paseo_De_La_República_589: José_Gálvez
José_Gálvez: Nicolás_De_Piérola
Nicolás_De_Piérola: Cuzco
Cuzco: Ucayali
Ucayali: Junín
Junín: Acho
Acho: Mercado_De_Flores
Mercado_De_Flores: Concejo
Concejo: Lima
Lima: Túpac_Amaru
Túpac_Amaru: Pirámide_De_Sol
Pirámide_De_Sol: Ascarruz
Ascarruz: La_Hacienda
La_Hacienda: Los_Postes
Los_Postes: Basadre
Basadre: San_Carlos
San_Carlos: Sedapal
Sedapal: La_Ocho
La_Ocho: San_Martín
San_Martín: Santa_Rosa
Santa_Rosa: La_Quince
La_Quince: Bayóvar
Bayóvar: La_Cuatro
La_Cuatro: La_Cinco
La_Cinco: Mariátegui
Mariátegui: 8_De_Mariscal
8_De_Mariscal: Motupe
Motupe: Montenegro
Montenegro: La_Capilla
Paseo_De_La_República_-_Tottus_Juan_De_Arona: Javier_Prado
Javier_Prado: Torre_Ugarte
Torre_Ugarte: Risso
Risso: Manuel_Candamo
Manuel_Candamo: Manuel_Segura
Manuel_Segura: Estación_México
Estación_México: México
México: Isabel_La_Católica
Isabel_La_Católica: Hipólito_Unanue
Hipólito_Unanue: Bausate_Y_Meza
Bausate_Y_Meza: Grau
Grau: Nicolás_De_Piérola
Nicolás_De_Piérola: Cuzco
Cuzco: Ucayali
Ucayali: Junín
Junín: Acho
Acho: Mercado_De_Flores
Mercado_De_Flores: Concejo
Concejo: Túpac_Amaru
Túpac_Amaru: Pirámide_De_Sol
Pirámide_De_Sol: Ascarruz
Ascarruz: Celima
Celima: La_Hacienda
La_Hacienda: Los_Postes
Los_Postes: Basadre
Basadre: San_Carlos
San_Carlos: Sedapal
Sedapal: La_Ocho
La_Ocho: San_Martín
San_Martín: Santa_Rosa
Santa_Rosa: La_Quince
La_Quince: Bayóvar
Bayóvar: La_Cuatro
La_Cuatro: La_Cinco
La_Cinco: Mariátegui
Mariátegui: 8_De_Mariscal
8_De_Mariscal: Motupe
Motupe: Montenegro
Montenegro: La_Capilla
Paseo_De_La_República_-_Tottus_Juan_De_Arona: Javier_Prado
Javier_Prado: Torre_Ugarte
Torre_Ugarte: Risso
Risso: Manuel_Candamo
Manuel_Candamo: Manuel_Segura
Manuel_Segura: Estación_México
Estación_México: México
México: Isabel_La_Católica
Isabel_La_Católica: Hipólito_Unanue
Hipólito_Unanue: Bausate_Y_Meza
Bausate_Y_Meza: Grau
Grau: Nicolás_De_Piérola
Nicolás_De_Piérola: Cuzco
Cuzco: Ucayali
Ucayali: Junín
Junín: Acho
Acho: Mercado_De_Flores
Mercado_De_Flores: Concejo
Concejo: Túpac_Amaru
Túpac_Amaru: Pirámide_De_Sol
Pirámide_De_Sol: Ascarruz
Ascarruz: Celima
Celima: La_Hacienda
La_Hacienda: Los_Postes
Los_Postes: Basadre
Basadre: San_Carlos
San_Carlos: Sedapal
Sedapal: La_Ocho
La_Ocho: San_Martín
San_Martín: Santa_Rosa
Santa_Rosa: La_Quince
La_Quince: Bayóvar
Bayóvar: La_Cuatro
La_Cuatro: La_Cinco
La_Cinco: Mariátegui
Mariátegui: 8_De_Mariscal
8_De_Mariscal: Motupe
Motupe: Montenegro
Montenegro: La_Capilla
Moquegua: Ica
Ica: Pizarro
Pizarro: Alcázar
Alcázar: 15_De_Caja_De_Agua
15_De_Caja_De_Agua: Moquegua
Moquegua: Próceres
Próceres: Túpac_Amaru
Túpac_Amaru: Pirámide_De_Sol
Pirámide_De_Sol: Celima
Celima: La_Hacienda
La_Hacienda: La_Doce
La_Doce: Los_Postes
Los_Postes: Basadre
Basadre: San_Carlos
San_Carlos: Canto_Rey
Canto_Rey: La_Ocho
La_Ocho: San_Martín
San_Martín: Santa_Rosa
Santa_Rosa: La_Quince
La_Quince: Bayóvar
Bayóvar: La_Cuatro
La_Cuatro: La_Cinco
La_Cinco: Mariátegui
Mariátegui: 8_De_Mariscal
8_De_Mariscal: Motupe
Motupe: Montenegro
Montenegro: La_Capilla
24_De_Junio: Complejo_Deportivo
Complejo_Deportivo: Eduardo_Dibós
Eduardo_Dibós: Carlos_Valderrama
Carlos_Valderrama: Calle_1
Calle_1: Amancaes
Amancaes: La_Colonia
La_Colonia: Madrid
Madrid: Leoncio_Prado
Leoncio_Prado: Guardia_Republicana
Guardia_Republicana: Chira
Chira: Virú
Virú: Ica
Ica: Moquegua
Moquegua: Ilo
Ilo: Bolivia
Bolivia: España
España: Tarma
Tarma: Saco_Oliveros
Saco_Oliveros: Ramón_Dagnino
Ramón_Dagnino: Cuba
Cuba: Enrique_Villar
Enrique_Villar: Manuel_Segura
Manuel_Segura: Manuel_Cándamo
Manuel_Cándamo: Tomás_Guido
Tomás_Guido: Soledad
Soledad: Manuel_Bañón
Manuel_Bañón: Paz_Soldán
Paz_Soldán: Choquehuanca
Choquehuanca: Raymundo_Morales
Raymundo_Morales: Los_Ángeles
Los_Ángeles: Andalucía
Andalucía: Ayacucho
Ayacucho: Angamos
Angamos: Piura
Piura: Pardo
Pardo: Berlín
Berlín: 28_De_Julio
28_De_Julio: Larco
Larco: Armendáríz
Armendáríz: Loyola
Loyola: La_Paz
La_Paz: Chipoco
Chipoco: Centenario
Centenario: Balta
Balta: Plaza_Butters
Lima: Comisaría
Comisaría: La_Losa
La_Losa: Túnel
Túnel: Leoncio_Prado
Leoncio_Prado: Pizarro
Pizarro: Huancavelica
Huancavelica: Nicolás_De_Piérola
Nicolás_De_Piérola: Villarán
Villarán: España
España: Huancayo
Huancayo: Natalio_Sánchez
Natalio_Sánchez: Cuba
Cuba: Manuel_Segura
Manuel_Segura: Risso
Risso: Soledad
Soledad: Manuel_Bañón
Manuel_Bañón: Raymundo_Morales
Raymundo_Morales: Teruel
Teruel: Angamos
Angamos: 2_De_Mayo
Condominios: Morro_De_Arica
Morro_De_Arica: Amancaes
Amancaes: La_Colonia
La_Colonia: Madrid
Madrid: Leoncio_Prado
Leoncio_Prado: Guardia_Republicana
Guardia_Republicana: Chira
Chira: Virú
Virú: Ica
Ica: Moquegua
Moquegua: Ilo
Ilo: Bolivia
Bolivia: España
España: Huancayo
Huancayo: Saco_Oliveros
Saco_Oliveros: Ramón_Dagnino
Ramón_Dagnino: Cuba
Cuba: Enrique_Villar
Enrique_Villar: Manuel_Segura
Manuel_Segura: Manuel_Cándamo
Manuel_Cándamo: Tomás_Guido
Tomás_Guido: Soledad
Soledad: Manuel_Bañón
Manuel_Bañón: Paz_Soldán
Paz_Soldán: Choquehuanca
Choquehuanca: Raymundo_Morales
Raymundo_Morales: Los_Ángeles
Los_Ángeles: Andalucía
Andalucía: Ayacucho
Ayacucho: Angamos
Angamos: Piura
Piura: 2_De_Mayo
24_De_Junio: Eduardo_Dibós
Eduardo_Dibós: Carlos_Valderrama
Carlos_Valderrama: Aguilar
Aguilar: Los_Virreyes
Los_Virreyes: Leoncio_Prado
Leoncio_Prado: Virú
Virú: Huancavelica
Huancavelica: Nicolás_De_Piérola
Nicolás_De_Piérola: Villarán
Villarán: España
España: Huancayo
Huancayo: Saco_Oliveros
Saco_Oliveros: Cuba
Cuba: Manuel_Del_Pino
Manuel_Del_Pino: León_Belarde
León_Belarde: Joaquin_Bernal
Joaquin_Bernal: Javier_Prado
Javier_Prado: Manuel_Bañon
Manuel_Bañon: Paz_Soldán
Paz_Soldán: Choquehuanca
Choquehuanca: Pezet
Pezet: Dasso
Dasso: Óvalo_Gutiérrez
Óvalo_Gutiérrez: Angamos
Angamos: Pardo
Acho: Chiclayo
Chiclayo: Alameda_De_Los_Delcalzos
Alameda_De_Los_Delcalzos: Prolongación_Tacna
Prolongación_Tacna: Antón_Sánchez
Antón_Sánchez: Las_Calezas
Las_Calezas: Amancaes
Amancaes: Calle_3
Calle_3: El_Sol
El_Sol: Calle_10
Calle_10: 24_De_Junio
24_De_Junio: Claveles
Claveles: Cerezos
Cerezos: Pasaje_17
Pasaje_17: Mónaco
Amancaes: Morro_De_Arica
Morro_De_Arica: Condominios
Condominios: Las_Lomas
Túpac_Amaru: Ie_Mercedez_Cabello
Ie_Mercedez_Cabello: Puente_Uni_-_Puerta_3
Puente_Uni_-_Puerta_3: Tupac_Amaru/_Habich_-_Puerta_4
Tupac_Amaru/_Habich_-_Puerta_4: Puerta_5
Puerta_5: Tupac_Amaru/_Habich
Tupac_Amaru/_Habich: Habich
Habich: Parque
Parque: Valdizan
Valdizan: Habich_X_Panamericana
Habich_X_Panamericana: Óvalo_Habich
Óvalo_Habich: Jirón_Nicolás_De_Piérola
Jirón_Nicolás_De_Piérola: Avenida_José_Granda_2017
Avenida_José_Granda_2017: Avenida_José_Granda
Avenida_José_Granda: Chile
Chile: Avenida_José_Granda
Avenida_José_Granda: Óvalo_Granda
Óvalo_Granda: Avenida_José_Granda
Avenida_José_Granda: Botica
Botica: Grifo
Grifo: Portón
Portón: Mercado
Mercado: Curva
Curva: Avenida_José_Granda
Avenida_José_Granda: Óvalo_Previ
Óvalo_Previ: Parroquía
Parroquía: Cóndor
Cóndor: Tomás_Valle
Tomás_Valle: Avenida_Los_Dominicos
Avenida_Los_Dominicos: Bocanegra
Bocanegra: Avenida_Los_Dominicos_996_Mz._E_2a
Avenida_Los_Dominicos_996_Mz._E_2a: Colinas
Colinas: Mercado
Mercado: Santa_Rosa
Santa_Rosa: Avenida_Los_Dominicos
Avenida_Los_Dominicos: Veterinaria
Veterinaria: Canta_Callao
Canta_Callao: Izaguirre
Izaguirre: Esquina_Izaguirre
Esquina_Izaguirre: Pacasmayo
Pacasmayo: Mercado
Mercado: Izaguirre_X_Bertello
Jose_Olaya: Parador
Parador: Miguel_Grau
Miguel_Grau: Centenario
Centenario: Mercado_Inmaculada_Concepción
Mercado_Inmaculada_Concepción: Carlos_Philips_30
Carlos_Philips_30: Ramiro_Priale
Ramiro_Priale: Sarita_Colonia
Sarita_Colonia: Calle_Ramiro_Prialé
Calle_Ramiro_Prialé: El_Emisor
El_Emisor: Av._El_Emisor_X_Av._A
Av._El_Emisor_X_Av._A: Entrada_Sarita_-_Gambetta
Entrada_Sarita_-_Gambetta: Carretera_Néstor_Gambetta
Carretera_Néstor_Gambetta: Andahuaylas
Andahuaylas: Chota
Chota: San_Martín
San_Martín: Alameda
Alameda: Castilla
Castilla: De_La_Alameda
De_La_Alameda: Santa_Rosa
Santa_Rosa: Callao
Callao: Circunvalación
Circunvalación: Mariátegui
Mariátegui: Aeropuerto
Aeropuerto: Tarapoto
Tarapoto: Avenida_La_Chalaca
Avenida_La_Chalaca: Mz_B_1_Lt_10
Mz_B_1_Lt_10: Politécnico
Politécnico: Argentina
Argentina: Faucett
Faucett: Chávez
Chávez: Avenida_Argentina
Avenida_Argentina: Universitaria
Universitaria: Avenida_Argentina
Avenida_Argentina: Malvinas
Malvinas: Plaza_Ramón_Castilla
Coop._Ramiro_Priale: Entrada
Entrada: Aguas_Calientes
Aguas_Calientes: Acapulco
Acapulco: Bolognesi
Bolognesi: Nicolás_De_Pierola_/_Alfonso_Ugarte
Nicolás_De_Pierola_/_Alfonso_Ugarte: Nicolás_De_Piérola
Nicolás_De_Piérola: Avenida_Jose_Carlos_Mariategui
Avenida_José_Carlos_Mariátegui: Trabajo
Trabajo: Trabajo
Trabajo: Central
Central: Colegio
Colegio: Tagore
Tagore: Ceres
Ceres: Los_Ángeles
Los_Ángeles: Soldadura
Soldadura: Cesar_Vallejo
Cesar_Vallejo: Puruchuco
Puruchuco: Josfel
Josfel: Idea_Hogar
Idea_Hogar: Volvo
Volvo: Huarochirí
Huarochirí: Colectora_Industrial
Colectora_Industrial: Óvalo_Santa_Anita
Óvalo_Santa_Anita: Frutales
Frutales: Mall
Mall: Celedonio
Celedonio: Puente_Azul
Puente_Azul: Perales
Perales: Lobatón
Lobatón: Nocheto
Nocheto: Atarjea
Atarjea: Charapita
Charapita: Puente_Nuevo
Puente_Nuevo: Panamericana_Norte
Panamericana_Norte: Mercado_De_Flores
Mercado_De_Flores: Acho
Acho: Caquetá
Caquetá: Porvenir
Porvenir: Cuismanco
Cuismanco: Dueñas
Dueñas: Santa_Fe
Santa_Fe: Monterrey
Monterrey: Santo_Domingo
Santo_Domingo: Villa_Rica
Villa_Rica: Puente
Puente: Pikalo
Pikalo: Mercado
Mercado: Proceres
Proceres: Huancayo
Huancayo: Jara
Jara: Calle_2
Calle_2: Tamayo
Tamayo: Olivar
Olivar: Seguro
Seguro: Pozos
Pozos: Colegio
Colegio: Bocanegra
Bocanegra: Calle_8
Calle_8: Calle_20
Calle_20: Calle_5
Calle_5: Santa_Rosa
Santa_Rosa: Colectora
Colectora: Salermo
Salermo: Canta_Callao
Avenida_Manuel_Olguín: Avenida_Manuel_Olguín
Avenida_Manuel_Olguín: Avenida_Manuel_Olguín
Avenida_Manuel_Olguín: Padre_Luis_Tezza
Padre_Luis_Tezza: Álamo
Álamo: Av._Primavera
Av._Primavera: Puente_Primavera
Puente_Primavera: Velasco_Astete
Velasco_Astete: San_Luis
San_Luis: Avenida_Angamos
Avenida_Angamos: Aviación
Aviación: Malachowsky
Malachowsky: Emilio_Harth
Emilio_Harth: Miguel_Iglesias
Miguel_Iglesias: Tomás_Marsano
Tomás_Marsano: San_Felipe
San_Felipe: Republica_De_Panama
Republica_De_Panama: Dante_Alcócer
Dante_Alcócer: Paseo_De_La_República
Paseo_De_La_República: Belisario_Suarez
Belisario_Suarez: Arequipa
Arequipa: General_Borgoño
General_Borgoño: Comandante_Espinar
Comandante_Espinar: Avenida_Santa_Cruz
Avenida_Santa_Cruz: Avenida_Santa_Cruz
Avenida_Santa_Cruz: Avenida_Santa_Cruz
Avenida_Santa_Cruz: José_De_La_Torre_Ugarte
José_De_La_Torre_Ugarte: Joaquín_Capelo
Joaquín_Capelo: Ignacio_Merino
Ignacio_Merino: Federico_Villarreal
Federico_Villarreal: Del_Ejército
Del_Ejército: Melgar
Melgar: Toyota
Toyota: Complejo
Complejo: Pollon
Pollon: Salaverry
Salaverry: Aliaga
Aliaga: Marbella
Marbella: Puericultorio
Puericultorio: Raymondi
Raymondi: Unanue
Unanue: Jirón_Tacna
Jirón_Tacna: Jirón_Salaverry
Jirón_Salaverry: Jirón_Salaverry
Jirón_Salaverry: La_Mar
La_Mar: Universiaria
Universiaria: Moore
Moore: Miramar
Miramar: Grifo
Grifo: San_Jorge
San_Jorge: Calle_15
Calle_15: Callejón_De_Huancas
Callejón_De_Huancas: José_Olaya
José_Olaya: Rufino_Echenique
Rufino_Echenique: 2_De_Mayo
2_De_Mayo: 28_De_Julio
28_De_Julio: Calle_29
Calle_29: La_Paz_/_Haya_De_La_Torre
La_Paz_/_Haya_De_La_Torre: Jr.Ayacucho
Jr.Ayacucho: Avenida_Callao
Avenida_Callao: La_Paz
La_Paz: La_Paz
La_Paz: La_Paz
La_Paz: Huascar_Marcelo
Huascar_Marcelo: Atahualpa
Atahualpa: Cahuide
Cahuide: Tupac_Amaru
Tupac_Amaru: Olaya
Remanso: Peycar
Peycar: Calle_Francisco_Torres
Calle_Francisco_Torres: Condorcanqui
Condorcanqui: Huaca
Huaca: Universitaria
Universitaria: San_Felipe
San_Felipe: Lima
Lima: Chiclayo
Chiclayo: Túpac_Amaru
Túpac_Amaru: San_Carlos
San_Carlos: Hospital_De_Collique
Hospital_De_Collique: Fe_Y_Alegría
Fe_Y_Alegría: Grifo_Año_Nuevo
Grifo_Año_Nuevo: Sangará
Sangará: Miguel_Grau
Miguel_Grau: Jamaica
Jamaica: Efe
Efe: La_Pascana
La_Pascana: Mariano_Melgar
Mariano_Melgar: Cesar_Vallejos
Cesar_Vallejos: Mercado_Chacra_Cerro
Mercado_Chacra_Cerro: San_Martín
San_Martín: Belaúnde
Belaúnde: Ingenieria
Ingenieria: Bolognesi
